invoice_id;branch;city;customer_type;gender;product_line;unit_price;quantity;tax_5_pct;total;date;purchase_hour;payment;cogs;gross_income;rating;customer_profile;customer_id;total_price;recency;frequency;monetary;r_score;f_score;m_score;rfm_score;rfm_score_label;rfm_combination;r_score_label;f_score_label;m_score_label;rfm_label
750-67-8428;A;Yangon;Member;Female;Health And Beauty;74.69;7;26.1415;548.9715;2019-01-05;13;E-Wallet;522.83;26.1415;9.1;Yangon_Member_Female;1;522.8299999999999;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
226-31-3081;C;Naypyitaw;Normal;Female;Electronic Accessories;15.28;5;3.82;80.22;2019-03-08;10;Cash;76.4;3.82;9.6;Naypyitaw_Normal_Female;2;76.39999999999999;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
631-41-3108;A;Yangon;Normal;Male;Home And Lifestyle;46.33;7;16.2155;340.5255;2019-03-03;13;Credit Card;324.31;16.2155;7.4;Yangon_Normal_Male;3;324.31;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
123-19-1176;A;Yangon;Member;Male;Health And Beauty;58.22;8;23.288;489.048;2019-01-27;20;E-Wallet;465.76;23.288;8.4;Yangon_Member_Male;4;465.76;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
373-73-7910;A;Yangon;Normal;Male;Sports And Travel;86.31;7;30.2085;634.3785;2019-02-08;10;E-Wallet;604.17;30.2085;5.3;Yangon_Normal_Male;3;604.1700000000001;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
699-14-3026;C;Naypyitaw;Normal;Male;Electronic Accessories;85.39;7;29.8865;627.6165;2019-03-25;18;E-Wallet;597.73;29.8865;4.1;Naypyitaw_Normal_Male;5;597.73;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
355-53-5943;A;Yangon;Member;Female;Electronic Accessories;68.84;6;20.652;433.692;2019-02-25;14;E-Wallet;413.04;20.652;5.8;Yangon_Member_Female;1;413.04;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
315-22-5665;C;Naypyitaw;Normal;Female;Home And Lifestyle;73.56;10;36.78;772.38;2019-02-24;11;E-Wallet;735.6;36.78;8.0;Naypyitaw_Normal_Female;2;735.6;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
665-32-9167;A;Yangon;Member;Female;Health And Beauty;36.26;2;3.626;76.146;2019-01-10;17;Credit Card;72.52;3.626;7.2;Yangon_Member_Female;1;72.52;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
692-92-5582;B;Mandalay;Member;Female;Food And Beverages;54.84;3;8.226;172.746;2019-02-20;13;Credit Card;164.52;8.226;5.9;Mandalay_Member_Female;6;164.52;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
351-62-0822;B;Mandalay;Member;Female;Fashion Accessories;14.48;4;2.896;60.816;2019-02-06;18;E-Wallet;57.92;2.896;4.5;Mandalay_Member_Female;6;57.92;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
529-56-3974;B;Mandalay;Member;Male;Electronic Accessories;25.51;4;5.102;107.142;2019-03-09;17;Cash;102.04;5.102;6.8;Mandalay_Member_Male;7;102.04;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
365-64-0515;A;Yangon;Normal;Female;Electronic Accessories;46.95;5;11.7375;246.4875;2019-02-12;10;E-Wallet;234.75;11.7375;7.1;Yangon_Normal_Female;8;234.75;1;81;25358.19;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
252-56-2699;A;Yangon;Normal;Male;Food And Beverages;43.19;10;21.595;453.495;2019-02-07;16;E-Wallet;431.9;21.595;8.2;Yangon_Normal_Male;3;431.9;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
829-34-3910;A;Yangon;Normal;Female;Health And Beauty;71.38;10;35.69;749.49;2019-03-29;19;Cash;713.8;35.69;5.7;Yangon_Normal_Female;8;713.8;1;81;25358.19;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
299-46-1805;B;Mandalay;Member;Female;Sports And Travel;93.72;6;28.116;590.436;2019-01-15;16;Cash;562.32;28.116;4.5;Mandalay_Member_Female;6;562.3199999999999;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
656-95-9349;A;Yangon;Member;Female;Health And Beauty;68.93;7;24.1255;506.6355;2019-03-11;11;Credit Card;482.51;24.1255;4.6;Yangon_Member_Female;1;482.51000000000005;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
